地形要素,細分類,分析上の意味
山頂,独立峰、連峰中のピーク、火山性丘陵頂部,見通し、防御性、信仰・祭祀性
尾根,主尾根、支尾根、痩せ尾根、広い尾根、尾根末端,城郭・砦・古墳・祭祀遺跡に関係
鞍部,峠、尾根越え地点、交通路の通過点,交通支配、関所的機能、防御線
斜面,上部斜面、中部斜面、下部斜面、緩斜面、急斜面,居住適性、造成可能性、崩壊リスク
山麓,扇状地扇頂部、斜面裾、湧水帯,集落立地、水利、山地資源利用
谷頭,湧水谷、開析谷の上流部、浅谷,水源、祭祀、初期集落立地に関係
谷口,山地・丘陵から平野への出口,交通・水利・防御・集落形成の結節点
台地面,平坦面、緩傾斜面、ローム台地、火山灰台地,安定した居住面、畑作、古代集落
台地縁,崖線沿い、開析谷沿い、段丘崖上,湧水・見通し・防御・交通との関係
段丘面,高位段丘、中位段丘、低位段丘,時代ごとの居住面選択、洪水回避
段丘崖,急崖、崖線、比高差のある縁辺,城郭・集落の防御性、境界性
谷底低地,狭い谷底、湿地化した谷、谷津田,水田、低湿地利用、集落背後の生産域
沖積低地,氾濫原、自然堤防、後背湿地,水田・洪水・低地集落の分析に必須
自然堤防,河道沿い微高地、微高地列,低地集落の代表的立地
旧河道,埋没河道、蛇行跡、湿地化した流路,水害リスク、水利、境界、堀との関係
後背湿地,低湿地、泥炭地、氾濫水滞留地,水田化、居住回避、保存環境
砂丘・浜堤,海岸砂丘、内陸砂丘、浜堤列,海岸集落、製塩、港湾、古砂丘上の居住
岬・入り江,岬端、湾奥、潟湖口,港・交易・海上交通監視
